"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","205","Mouse over","","Mon Mar 02 17:21:02 UTC 2026","broken","Mon Mar 02 17:21:02 UTC 2026","","Chapter 3: WebDriver Fundamentals","tests.seleniumV1.Chapter3WebDriverFundamentalsTests","openMouseOverPage"
"","7","Check Notifications page","","Mon Mar 02 17:21:27 UTC 2026","broken","Mon Mar 02 17:21:27 UTC 2026","","tests.seleniumV2.NotificationsTests","tests.seleniumV2.NotificationsTests","openNotificationsTest"
"","208","Open Long Page","","Mon Mar 02 17:21:06 UTC 2026","broken","Mon Mar 02 17:21:06 UTC 2026","","Chapter 4: Browser-Agnostic Features","tests.seleniumV1.Chapter4BrowserAgnosticFeaturesTests","openLongPage"
"","204","Open Login Form page","","Mon Mar 02 17:21:15 UTC 2026","broken","Mon Mar 02 17:21:15 UTC 2026","","Chapter 7: The Page Object Model","tests.seleniumV1.Chapter7PageObjectModelTests","openLoginFormPage"
"","207","testSlowCalculatorLink()","","Mon Mar 02 17:21:00 UTC 2026","broken","Mon Mar 02 17:21:01 UTC 2026","","tests.seleniumV1.Chapter3LinksValidationTest","tests.seleniumV1.Chapter3LinksValidationTest","testSlowCalculatorLink"
"","204","FirstApartLoremIpsum","","Mon Mar 02 17:21:08 UTC 2026","broken","Mon Mar 02 17:21:08 UTC 2026","","tests.seleniumV1.Chapter4DialogBoxes","tests.seleniumV1.Chapter4DialogBoxes","alertLaunch"
"","413","Try to get superhero by invalid id","","Mon Mar 02 17:20:51 UTC 2026","passed","Mon Mar 02 17:20:51 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","getSuperheroByInvalidIdTest"
"","202","Shadow DOM","","Mon Mar 02 17:21:13 UTC 2026","broken","Mon Mar 02 17:21:13 UTC 2026","","tests.seleniumV1.Chapter4ShadowDom","tests.seleniumV1.Chapter4ShadowDom","shadowDOM"
"","207","Open Console logs page","","Mon Mar 02 17:21:13 UTC 2026","broken","Mon Mar 02 17:21:14 UTC 2026","","Chapter 5: Browser-Specific Manipulation","tests.seleniumV1.Chapter5BrowserSpecificManipulationTests","openConsoleLogsPage"
"","753","Должен получить и проверить свойства цвета CSS","","Mon Mar 02 17:21:26 UTC 2026","failed","Mon Mar 02 17:21:27 UTC 2026","","WebFormTests","tests.seleniumV1.SeleniumActionTests","shouldRetrieveAndValidateCssColorProperties"
"","384","Try to update superhero with invalid date","","Mon Mar 02 17:20:54 UTC 2026","passed","Mon Mar 02 17:20:55 UTC 2026","","tests.API.TestSuperheroes","tests.API.TestSuperheroes","putSuperheroWithInvalidDateTest"
"","202","Title2Cookies","","Mon Mar 02 17:21:07 UTC 2026","broken","Mon Mar 02 17:21:07 UTC 2026","","tests.seleniumV1.Chapter4Cookies","tests.seleniumV1.Chapter4Cookies","titleTest2"
